"Date","Price","Open","High","Low","Change %"
"02/16/2017","0.213","0.213","0.213","0.213","-0.47%"
"02/15/2017","0.214","0.214","0.214","0.214","-0.47%"
"02/14/2017","0.215","0.215","0.215","0.215","2.87%"
"02/13/2017","0.209","0.209","0.209","0.209","-0.48%"
"02/10/2017","0.210","0.210","0.210","0.210","-1.41%"
"02/09/2017","0.213","0.213","0.213","0.213","-0.47%"
"02/08/2017","0.214","0.214","0.214","0.214","-4.46%"
"02/07/2017","0.224","0.224","0.224","0.224","6.67%"
"02/06/2017","0.210","0.210","0.210","0.210","-4.98%"
"02/03/2017","0.221","0.221","0.221","0.221","-1.34%"
"02/02/2017","0.224","0.224","0.224","0.224","0.00%"
"02/01/2017","0.224","0.224","0.224","0.224","-0.88%"
"01/31/2017","0.226","0.226","0.226","0.226","3.67%"
"01/30/2017","0.218","0.218","0.218","0.218","-0.46%"
"01/27/2017","0.219","0.219","0.219","0.219","-1.35%"
"01/26/2017","0.222","0.222","0.222","0.222","-0.45%"
"01/25/2017","0.223","0.223","0.223","0.223","-0.45%"
"01/24/2017","0.224","0.224","0.224","0.224","2.28%"
"01/23/2017","0.219","0.219","0.219","0.219","-8.75%"
"01/20/2017","0.240","0.240","0.240","0.240","7.62%"
"01/19/2017","0.223","0.223","0.223","0.223","-0.45%"
"01/18/2017","0.224","0.224","0.224","0.224","-0.44%"
"01/17/2017","0.225","0.225","0.225","0.225","-2.17%"
"01/16/2017","0.230","0.230","0.230","0.230","-3.77%"
"01/13/2017","0.239","0.239","0.239","0.239","7.66%"
"01/12/2017","0.222","0.222","0.222","0.222","-0.45%"
"01/11/2017","0.223","0.223","0.223","0.223","-0.45%"
"01/10/2017","0.224","0.224","0.224","0.224","6.16%"
"01/09/2017","0.211","0.211","0.211","0.211","-0.47%"
"01/06/2017","0.212","0.212","0.212","0.212","-1.40%"
"01/05/2017","0.215","0.215","0.215","0.215","-0.46%"
"01/04/2017","0.216","0.216","0.216","0.216","-5.68%"
"01/03/2017","0.229","0.229","0.229","0.229","5.05%"
"12/30/2016","0.218","0.218","0.218","0.218","2.35%"
"12/29/2016","0.213","0.213","0.213","0.213","-0.93%"
"12/28/2016","0.215","0.215","0.215","0.215","-1.83%"
"12/23/2016","0.219","0.219","0.219","0.219","-1.35%"
"12/22/2016","0.222","0.222","0.222","0.222","4.23%"
"12/21/2016","0.213","0.213","0.213","0.213","-4.91%"
"12/20/2016","0.224","0.224","0.224","0.224","3.70%"
"12/19/2016","0.216","0.216","0.216","0.216","3.35%"
"12/16/2016","0.209","0.209","0.209","0.209","-1.42%"
"12/15/2016","0.212","0.212","0.212","0.212","-0.47%"
"12/14/2016","0.213","0.213","0.213","0.213","-8.97%"
"12/13/2016","0.234","0.234","0.234","0.234","18.18%"
"12/12/2016","0.198","0.198","0.198","0.198","-0.50%"
"12/09/2016","0.199","0.199","0.199","0.199","-1.49%"
"12/08/2016","0.202","0.202","0.202","0.202","-0.49%"
"12/07/2016","0.203","0.203","0.203","0.203","-0.49%"
"12/06/2016","0.204","0.204","0.204","0.204","3.03%"
"12/05/2016","0.198","0.198","0.198","0.198","-0.50%"
"12/02/2016","0.199","0.199","0.199","0.199","-1.49%"
"12/01/2016","0.202","0.202","0.202","0.202","-0.49%"
"11/30/2016","0.203","0.203","0.203","0.203","0.00%"
"11/29/2016","0.203","0.203","0.203","0.203","3.05%"
"11/28/2016","0.197","0.197","0.197","0.197","0.00%"
"11/25/2016","0.197","0.197","0.197","0.197","-1.50%"
"11/24/2016","0.200","0.200","0.200","0.200","-0.50%"
"11/23/2016","0.201","0.201","0.201","0.201","-0.50%"
"11/22/2016","0.202","0.202","0.202","0.202","2.54%"
"11/21/2016","0.197","0.197","0.197","0.197","0.00%"
"11/18/2016","0.197","0.197","0.197","0.197","-1.50%"
"11/17/2016","0.200","0.200","0.200","0.200","-0.50%"
"11/16/2016","0.201","0.201","0.201","0.201","-4.74%"
"11/15/2016","0.211","0.211","0.211","0.211","3.43%"
"11/14/2016","0.204","0.204","0.204","0.204","-14.64%"
"11/11/2016","0.239","0.239","0.239","0.239","0.84%"
"11/10/2016","0.237","0.237","0.237","0.237","-0.42%"
"11/09/2016","0.238","0.238","0.238","0.238","-0.83%"
"11/08/2016","0.240","0.240","0.240","0.240","1.27%"
"11/07/2016","0.237","0.237","0.237","0.237","2.60%"
"11/04/2016","0.231","0.231","0.231","0.231","-2.53%"
"11/03/2016","0.237","0.237","0.237","0.237","-0.42%"
"11/02/2016","0.238","0.238","0.238","0.238","-0.83%"
"11/01/2016","0.240","0.240","0.240","0.240","3.00%"
"10/31/2016","0.233","0.233","0.233","0.233","-0.43%"
"10/28/2016","0.234","0.234","0.234","0.234","0.86%"
"10/27/2016","0.232","0.232","0.232","0.232","-3.33%"
"10/26/2016","0.240","0.240","0.240","0.240","4.35%"
"10/25/2016","0.230","0.230","0.230","0.230","0.00%"
"10/24/2016","0.230","0.230","0.230","0.230","3.14%"
"10/21/2016","0.223","0.223","0.223","0.223","-2.19%"
"10/20/2016","0.228","0.228","0.228","0.228","-0.44%"
"10/19/2016","0.229","0.229","0.229","0.229","-4.58%"
"10/18/2016","0.240","0.240","0.240","0.240","3.00%"
"10/17/2016","0.233","0.233","0.233","0.233","0.43%"
"10/15/2016","0.232","0.232","0.232","0.232","0.00%"
"10/14/2016","0.232","0.232","0.232","0.232","-2.52%"
"10/13/2016","0.238","0.238","0.238","0.238","3.93%"
"10/12/2016","0.229","0.229","0.229","0.229","-0.43%"
"10/11/2016","0.230","0.230","0.230","0.230","2.68%"
"10/10/2016","0.224","0.224","0.224","0.224","-9.31%"
"10/07/2016","0.247","0.247","0.247","0.247","7.86%"
"10/06/2016","0.229","0.229","0.229","0.229","-0.43%"
"10/05/2016","0.230","0.230","0.230","0.230","3.60%"
"10/04/2016","0.222","0.222","0.222","0.222","-7.11%"
"10/03/2016","0.239","0.239","0.239","0.239","10.14%"
"09/30/2016","0.217","0.217","0.217","0.217","-2.25%"
"09/29/2016","0.222","0.222","0.222","0.222","-0.45%"
"09/28/2016","0.223","0.223","0.223","0.223","-4.70%"
"09/27/2016","0.234","0.234","0.234","0.234","9.35%"
"09/26/2016","0.214","0.214","0.214","0.214","-4.46%"
"09/25/2016","0.224","0.224","0.224","0.224","0.00%"
"09/24/2016","0.224","0.224","0.224","0.224","0.00%"
"09/23/2016","0.224","0.224","0.224","0.224","-2.18%"
"09/22/2016","0.229","0.229","0.229","0.229","-1.29%"
"09/21/2016","0.232","0.232","0.232","0.232","4.50%"
"09/20/2016","0.222","0.222","0.222","0.222","-2.63%"
"09/19/2016","0.228","0.228","0.228","0.228","2.24%"
"09/17/2016","0.223","0.223","0.223","0.223","0.00%"
"09/16/2016","0.223","0.223","0.223","0.223","-2.62%"
"09/15/2016","0.229","0.229","0.229","0.229","-5.37%"
"09/14/2016","0.242","0.242","0.242","0.242","0.00%"
"09/13/2016","0.242","0.242","0.242","0.242","8.52%"
"09/12/2016","0.223","0.223","0.223","0.223","0.00%"
"09/09/2016","0.223","0.223","0.223","0.223","-3.46%"
"09/08/2016","0.231","0.231","0.231","0.231","0.00%"
"09/07/2016","0.231","0.231","0.231","0.231","-0.43%"
"09/06/2016","0.232","0.232","0.232","0.232","-1.69%"
"09/05/2016","0.236","0.236","0.236","0.236","4.89%"
"09/02/2016","0.225","0.225","0.225","0.225","2.27%"
"09/01/2016","0.220","0.220","0.220","0.220","-4.35%"
"08/31/2016","0.230","0.230","0.230","0.230","2.68%"
"08/30/2016","0.224","0.224","0.224","0.224","0.90%"
"08/26/2016","0.222","0.222","0.222","0.222","-9.39%"
"08/25/2016","0.245","0.245","0.245","0.245","11.36%"
"08/24/2016","0.220","0.220","0.220","0.220","-4.35%"
"08/23/2016","0.230","0.230","0.230","0.230","3.14%"
"08/22/2016","0.223","0.223","0.223","0.223","-15.21%"
"08/19/2016","0.263","0.263","0.263","0.263","20.09%"
"08/18/2016","0.219","0.219","0.219","0.219","-15.77%"
"08/17/2016","0.260","0.260","0.260","0.260","-10.65%"
"08/16/2016","0.291","0.291","0.291","0.291","-0.68%"
"08/15/2016","0.293","0.293","0.293","0.293","14.01%"
"08/14/2016","0.257","0.257","0.257","0.257","0.00%"
"08/13/2016","0.257","0.257","0.257","0.257","0.00%"
